OID,info.json url
10540855,https://collections.library.yale.edu/iiif/2/10540855/info.json
10540856,https://collections.library.yale.edu/iiif/2/10540856/info.json
10540857,https://collections.library.yale.edu/iiif/2/10540857/info.json
10540858,https://collections.library.yale.edu/iiif/2/10540858/info.json
10540859,https://collections.library.yale.edu/iiif/2/10540859/info.json
10540860,https://collections.library.yale.edu/iiif/2/10540860/info.json
10540861,https://collections.library.yale.edu/iiif/2/10540861/info.json
10540862,https://collections.library.yale.edu/iiif/2/10540862/info.json
10540863,https://collections.library.yale.edu/iiif/2/10540863/info.json
10540864,https://collections.library.yale.edu/iiif/2/10540864/info.json
10540865,https://collections.library.yale.edu/iiif/2/10540865/info.json
10540866,https://collections.library.yale.edu/iiif/2/10540866/info.json
10540867,https://collections.library.yale.edu/iiif/2/10540867/info.json
10540868,https://collections.library.yale.edu/iiif/2/10540868/info.json
10540869,https://collections.library.yale.edu/iiif/2/10540869/info.json
10540870,https://collections.library.yale.edu/iiif/2/10540870/info.json
10540871,https://collections.library.yale.edu/iiif/2/10540871/info.json
10540872,https://collections.library.yale.edu/iiif/2/10540872/info.json
10540873,https://collections.library.yale.edu/iiif/2/10540873/info.json
10540874,https://collections.library.yale.edu/iiif/2/10540874/info.json
10540875,https://collections.library.yale.edu/iiif/2/10540875/info.json
10540876,https://collections.library.yale.edu/iiif/2/10540876/info.json
10540877,https://collections.library.yale.edu/iiif/2/10540877/info.json
10540878,https://collections.library.yale.edu/iiif/2/10540878/info.json
10540879,https://collections.library.yale.edu/iiif/2/10540879/info.json
10540880,https://collections.library.yale.edu/iiif/2/10540880/info.json
10540881,https://collections.library.yale.edu/iiif/2/10540881/info.json
10540882,https://collections.library.yale.edu/iiif/2/10540882/info.json
10540883,https://collections.library.yale.edu/iiif/2/10540883/info.json
10540884,https://collections.library.yale.edu/iiif/2/10540884/info.json
10540885,https://collections.library.yale.edu/iiif/2/10540885/info.json
10540886,https://collections.library.yale.edu/iiif/2/10540886/info.json
10540887,https://collections.library.yale.edu/iiif/2/10540887/info.json
10540888,https://collections.library.yale.edu/iiif/2/10540888/info.json
10540889,https://collections.library.yale.edu/iiif/2/10540889/info.json
10540890,https://collections.library.yale.edu/iiif/2/10540890/info.json
10540891,https://collections.library.yale.edu/iiif/2/10540891/info.json
10540892,https://collections.library.yale.edu/iiif/2/10540892/info.json
10540893,https://collections.library.yale.edu/iiif/2/10540893/info.json
10540894,https://collections.library.yale.edu/iiif/2/10540894/info.json
10540895,https://collections.library.yale.edu/iiif/2/10540895/info.json
10540896,https://collections.library.yale.edu/iiif/2/10540896/info.json
10540897,https://collections.library.yale.edu/iiif/2/10540897/info.json
10540898,https://collections.library.yale.edu/iiif/2/10540898/info.json
10540899,https://collections.library.yale.edu/iiif/2/10540899/info.json
10540900,https://collections.library.yale.edu/iiif/2/10540900/info.json
10540901,https://collections.library.yale.edu/iiif/2/10540901/info.json
10540902,https://collections.library.yale.edu/iiif/2/10540902/info.json
10540903,https://collections.library.yale.edu/iiif/2/10540903/info.json
10540904,https://collections.library.yale.edu/iiif/2/10540904/info.json
10540905,https://collections.library.yale.edu/iiif/2/10540905/info.json
10540906,https://collections.library.yale.edu/iiif/2/10540906/info.json
10540907,https://collections.library.yale.edu/iiif/2/10540907/info.json
10540908,https://collections.library.yale.edu/iiif/2/10540908/info.json
10540909,https://collections.library.yale.edu/iiif/2/10540909/info.json
10540910,https://collections.library.yale.edu/iiif/2/10540910/info.json
10540911,https://collections.library.yale.edu/iiif/2/10540911/info.json
10540912,https://collections.library.yale.edu/iiif/2/10540912/info.json
10540913,https://collections.library.yale.edu/iiif/2/10540913/info.json
10540914,https://collections.library.yale.edu/iiif/2/10540914/info.json
10540915,https://collections.library.yale.edu/iiif/2/10540915/info.json
10540916,https://collections.library.yale.edu/iiif/2/10540916/info.json
10540917,https://collections.library.yale.edu/iiif/2/10540917/info.json
10540918,https://collections.library.yale.edu/iiif/2/10540918/info.json
10540919,https://collections.library.yale.edu/iiif/2/10540919/info.json
10540920,https://collections.library.yale.edu/iiif/2/10540920/info.json
10540921,https://collections.library.yale.edu/iiif/2/10540921/info.json
10540922,https://collections.library.yale.edu/iiif/2/10540922/info.json
10540923,https://collections.library.yale.edu/iiif/2/10540923/info.json
10540924,https://collections.library.yale.edu/iiif/2/10540924/info.json
